symbol,buyOrderPrice1,buyOrderQty1,sellOrderPrice1,sellQty1,lastTradedPrice,underLyingLtp,futuresLtp,spread,spreadPer,openPositions,annualisedYieldPer,volume,turnOver,transactionValue,caExpDate,ca,meta,series_key,snapshot_date
MARUTI,0.0,0,4.2,109,0.0,12400.0,12495.0,-95.0,-0.77,2213,0.54,0,0.0,0.0,07-Aug-2026,DIVIDEND - RS 140 PER SHARE 07-Aug-2026,{'isSLBSec': True},XO,2026-09-13
MAHABANK,0.0,0,0.26,50,0.0,84.2,84.85,-0.65,-0.77,0,9.42,0,0.0,0.0,05-Jun-2026,DIVIDEND - RS 1.20 PER SH 05-Jun-2026,{'isSLBSec': True},XO,2026-09-13
RECLTD,0.01,19338,0.5,2400,0.01,312.7,315.15,-2.45,-0.78,2978680,0.05,534,48.06,167574.54,14-Aug-2026,DIVIDEND - RS 1.55 PER SHARE 14-Aug-2026,{'isSLBSec': True},XO,2026-09-13
ICICIBANK,0.0,0,0.6,4064,0.0,1379.3,1390.1,-10.8,-0.78,154546,0.56,0,0.0,0.0,03-Aug-2026,DIVIDEND - RS 12 PER SHARE 03-Aug-2026,{'isSLBSec': True},XO,2026-09-13
UNOMINDA,0.0,0,29.0,6,0.0,1201.6,1211.0,-9.4,-0.78,2873,39.56,0,0.0,0.0,29-May-2026,DIVIDEND - RS 1.75 PER SHARE 29-May-2026,{'isSLBSec': True},XO,2026-09-13
DMART,0.16,300,10.0,1200,0.0,3688.0,3716.7,-28.7,-0.78,1476166,1.29,0,0.0,0.0,09-Aug-2021, ANNUAL GENERAL MEETING 09-Aug-2021,{'isSLBSec': True},XO,2026-09-13
MCX,0.0,0,3.21,59,0.0,3276.0,3302.0,-26.0,-0.79,178157,1.69,0,0.0,0.0,28-Aug-2026,DIVIDEND - RS 8 PER SHARE 28-Aug-2026,{'isSLBSec': True},XO,2026-09-13
ITC,0.0,0,0.18,796,0.0,259.85,261.9,-2.05,-0.79,2534843,1.59,0,0.0,0.0,27-May-2026,DIVIDEND - RS 8 PER SHARE 27-May-2026,{'isSLBSec': True},XO,2026-09-13
JIOFIN,0.0,0,0.18,2900,0.0,229.9,231.75,-1.85,-0.8,98215,1.38,0,0.0,0.0,10-Aug-2026,DIVIDEND - RS 0.60 PER SHARE 10-Aug-2026,{'isSLBSec': True},XO,2026-09-13
BAJAJFINSV,0.0,0,0.9,6333,0.0,1913.5,1928.9,-15.4,-0.8,3027,0.79,0,0.0,0.0,30-Jun-2026,DIVIDEND - RS 1.50 PER SHARE 30-Jun-2026,{'isSLBSec': True},XO,2026-09-13
SHRIRAMFIN,0.0,0,2.13,1,0.0,1028.6,1036.9,-8.3,-0.81,3524,7.64,0,0.0,0.0,03-Jul-2026,DIVIDEND - RS 6 PER SHARE 03-Jul-2026,{'isSLBSec': True},XO,2026-09-13
RBLBANK,0.0,0,0.79,200,0.0,412.55,415.95,-3.4,-0.82,2595,29.62,0,0.0,0.0,14-Aug-2026,DIVIDEND - RE 1 PER SHARE 14-Aug-2026,{'isSLBSec': True},XO,2026-09-13
IDFCFIRSTB,0.0,0,0.05,227286,0.0,86.21,86.92,-0.71,-0.82,209367,0.92,0,0.0,0.0,07-Aug-2026,DIVIDEND - RE 0.25 PER SHARE 07-Aug-2026,{'isSLBSec': True},XO,2026-09-13
YESBANK,0.0,0,0.01,1600,0.0,23.48,23.68,-0.2,-0.85,31111,0.68,0,0.0,0.0,03-Jun-2019, ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE 03-Jun-2019,{'isSLBSec': True},XO,2026-09-13
TATACONSUM,0.0,0,0.88,2503,0.0,991.0,999.5,-8.5,-0.86,1652,1.41,0,0.0,0.0,25-May-2026,DIVIDEND - RS 10 PER SHARE 25-May-2026,{'isSLBSec': True},XO,2026-09-13
SUZLON,0.0,0,0.04,4500,0.0,44.12,44.5,-0.38,-0.86,356810,1.44,0,0.0,0.0,03-Sep-2024,ANNUAL GENERAL MEETING 03-Sep-2024,{'isSLBSec': True},XO,2026-09-13
ASHOKLEY,0.0,0,0.25,5000,0.0,163.75,165.18,-1.43,-0.87,5128,3.2,0,0.0,0.0,03-Jun-2026,INTERIM DIVIDEND - RS 2.50 PER SHARE 03-Jun-2026,{'isSLBSec': True},XO,2026-09-13
MUTHOOTFIN,0.0,0,18.79,20,0.0,2792.1,2816.5,-24.4,-0.87,3334,6.82,0,0.0,0.0,17-Apr-2026,INTERIM DIVIDEND - RS 30 PER SHARE 17-Apr-2026,{'isSLBSec': True},XO,2026-09-13
ANGELONE,0.05,330,2.5,1000,0.0,305.0,307.7,-2.7,-0.89,330906,0.26,0,0.0,0.0,21-Jul-2026,INTERIM DIVIDEND - RE 1 PER SHARE 21-Jul-2026,{'isSLBSec': True},XO,2026-09-13
BSE,0.01,800,1.78,955,0.0,3384.0,3414.0,-30.0,-0.89,935403,0.86,0,0.0,0.0,10-Jul-2026,DIVIDEND - RS 10 PER SHARE 10-Jul-2026,{'isSLBSec': True},XO,2026-09-13
SWIGGY,0.01,600,1.13,13393,0.0,278.2,280.7,-2.5,-0.9,6857289,1.71,0,0.0,0.0,, ,{'isSLBSec': True},XO,2026-09-13
DELHIVERY,0.0,0,0.75,1,0.0,439.0,442.95,-3.95,-0.9,0,2.71,0,0.0,0.0,20-Sep-2023,ANNUAL GENERAL MEETING 20-Sep-2023,{'isSLBSec': True},XO,2026-09-13
TCS,0.01,1800,1.3,385,0.0,2200.8,2221.0,-20.2,-0.92,691988,0.94,0,0.0,0.0,15-Jul-2026,INTERIM DIVIDEND - RS 12 PER SHARE 15-Jul-2026,{'isSLBSec': True},XO,2026-09-13
ALKEM,0.0,0,15.84,3,0.0,5087.5,5136.5,-49.0,-0.96,781,6.24,0,0.0,0.0,07-Aug-2026,DIVIDEND - RS 10 PER SHARE 07-Aug-2026,{'isSLBSec': True},XO,2026-09-13
MPHASIS,0.0,0,8.9,125,0.0,2295.0,2317.9,-22.9,-1.0,7067,4.84,0,0.0,0.0,08-Jul-2026,DIVIDEND - RS 62 PER SHARE 08-Jul-2026,{'isSLBSec': True},XO,2026-09-13
NHPC,0.1,475,0.3,20100,0.45,76.38,77.17,-0.79,-1.03,17609868,9.35,400,180.0,30720.0,12-Aug-2026,DIVIDEND - RE 0.21 PER SH 12-Aug-2026,{'isSLBSec': True},XO,2026-09-13
LICHSGFIN,0.0,0,1.9,5400,0.0,562.9,568.75,-5.85,-1.04,15427,5.55,0,0.0,0.0,21-Aug-2026,DIVIDEND - RS 10 PER SHARE 21-Aug-2026,{'isSLBSec': True},XO,2026-09-13
SAIL,0.0,0,0.31,1,0.0,179.0,181.0,-2.0,-1.12,75987,10.64,0,0.0,0.0,08-Sep-2025,DIVIDEND - RS 1.60 PER SHARE 08-Sep-2025,{'isSLBSec': True},XO,2026-09-13
KAYNES,8.3,13,59.99,100,40.0,3505.0,3430.0,75.0,2.14,58422,8.17,232,8878.64,821048.0,08-Sep-2023,ANNUAL GENERAL MEETING 08-Sep-2023,{'isSLBSec': True},XN,2026-09-13
PIIND,15.0,10500,34.0,182,34.0,2259.0,2215.0,44.0,1.95,203339,10.77,150553,5049547.62,361176647.0,07-Aug-2026,DIVIDEND - RS 10 PER SHARE 07-Aug-2026,{'isSLBSec': True},XN,2026-09-13
BLUESTARCO,22.1,650,25.98,150,26.0,1558.0,1530.2,27.8,1.78,631092,11.94,22680,549763.2,34927200.0,17-Jul-2026,DIVIDEND - RS 8.50 PER SHARE 17-Jul-2026,{'isSLBSec': True},XN,2026-09-13
LTM,41.0,621,64.0,505,41.0,4275.0,4211.1,63.9,1.49,354542,6.86,17437,1109341.94,76984355.0,25-May-2026,DIVIDEND - RS 53 PER SHARE 25-May-2026,{'isSLBSec': True},XN,2026-09-13
WIPRO,2.7,759,2.71,100,2.7,167.4,165.09,2.31,1.38,15692917,11.54,793650,1730157.0,134126850.0,27-Jul-2026,INTERIM DIVIDEND - RS 2 PER SHARE 27-Jul-2026,{'isSLBSec': True},XN,2026-09-13
BDL,11.0,800,17.0,1594,17.0,1190.0,1174.2,15.8,1.33,217758,10.22,45209,668641.11,54793308.0,09-Feb-2026,INTERIM DIVIDEND - RS 4.50 PER SHARE 09-Feb-2026,{'isSLBSec': True},XN,2026-09-13
DIXON,140.0,2,190.0,19,140.0,13425.0,13287.0,138.0,1.03,93603,7.46,158,23951.22,2155120.0,16-Sep-2025,DIVIDEND - RS 8 PER SHARE 16-Sep-2025,{'isSLBSec': True},XN,2026-09-13
LODHA,7.0,6250,20.0,550,0.0,1116.9,1105.6,11.3,1.01,99730,16.02,0,0.0,0.0,07-Aug-2026,DIVIDEND - RS 4.25 PER SHARE 07-Aug-2026,{'isSLBSec': True},XN,2026-09-13
HAVELLS,3.51,500,14.0,515,6.0,1111.0,1102.3,8.7,0.78,149172,3.87,2790,31192.2,3130380.0,22-May-2026,DIVIDEND - RS 6 PER SHARE 22-May-2026,{'isSLBSec': True},XN,2026-09-13
OFSS,40.0,200,132.99,20,133.0,11763.0,11689.0,74.0,0.63,21895,8.09,17483,824847.94,207313414.0,07-May-2026,INTERIM DIVIDEND - RS 270 PER SHARE 07-May-2026,{'isSLBSec': True},XN,2026-09-13
KFINTECH,4.8,1,6.45,36,6.45,900.0,894.45,5.55,0.62,9400,5.13,2440,12883.2,2209298.0,15-Jul-2026,DIVIDEND - RS 12 PER SHARE 15-Jul-2026,{'isSLBSec': True},XN,2026-09-13
KEI,10.0,35,40.0,500,0.0,4578.0,4563.0,15.0,0.33,137309,7.82,0,0.0,0.0,28-Jan-2026,INTERIM DIVIDEND - RS 4.50 PER SHARE 28-Jan-2026,{'isSLBSec': True},XN,2026-09-13
