date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d,advance_decline_ratio,net_advances_pct,pct_above_50dma,highs_minus_lows_pct,composite_breadth_score,market_breadth_state
2024-12-03,1305.7237413234882,1315.4398813546288,1295.8093621182986,1311.9698486328125,16869482,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,0.4784,4.1312,2.1301,4.9613,13139220.0,15283351.0,1.2839,1.1038,elevated,19.63,1.4963,7.78,0.5996,25.42,28.23,1.455,1.1999,4.0,0.6,0.36,0.14,0.578,strengthened
2024-12-04,1314.6467414933138,1317.0262168141671,1292.884726573221,1297.74267578125,19608540,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.2858,1.2962,1.2179,5.4202,15146379.0,15273934.0,1.2946,1.2838,elevated,24.14,1.8603,2.68,0.204,26.71,28.41,1.4277,1.2161,0.8519,-0.08,0.32,0.16,0.428,weakened
2024-12-05,1303.096445986659,1318.5628538088615,1294.966703202915,1310.7305908203125,16858723,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,0.5858,0.9854,4.0329,8.0989,15512641.0,15303496.0,1.0868,1.1016,normal,23.6,1.8002,5.35,0.4125,25.97,28.26,1.3063,1.1808,4.0,0.6,0.38,0.24,0.596,strengthened
2024-12-06,1312.5646685095264,1312.5646685095264,1298.783657405313,1300.3204345703125,9037514,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.9328,-0.8879,1.4974,3.6471,14679682.0,14674111.0,0.6156,0.6159,dry,13.78,1.0598,1.83,0.1399,23.03,27.72,0.9976,1.1895,0.7241,-0.16,0.4,0.14,0.442,weakened
2024-12-09,1291.8436769577456,1303.7409326166044,1282.0284168341586,1284.0609130859375,14650002,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.6025,-1.0543,-1.0694,0.6333,15404852.0,14926012.0,0.951,0.9815,normal,21.71,1.6909,-8.48,-0.6519,20.57,27.21,1.0129,1.1887,0.7241,-0.16,0.38,0.06,0.426,weakened
2024-12-10,1278.2113501165884,1283.812998621138,1269.238788448007,1273.8489990234375,16043729,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.3413,-2.8138,-2.9056,-0.8374,15239702.0,14737479.0,1.0528,1.0886,normal,14.57,1.1441,-5.85,-0.4556,19.61,24.99,1.0155,1.1745,0.6667,-0.2,0.4,0.12,0.432,weakened
2024-12-11,1273.9978081396894,1278.9549980546296,1265.1244866020038,1267.2559814453125,11724373,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.5292,-2.5428,-2.3492,-1.1599,13662868.0,14870870.0,0.8581,0.7884,dry,13.83,1.0914,0.15,0.0117,17.55,24.09,1.0238,1.1765,1.1304,0.0612,0.42,0.12,0.4922,mixed
2024-12-12,1259.1262215126185,1267.25596445406,1249.8066803924569,1252.0870361328125,20906813,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.5591,-2.4901,-4.4741,-0.6217,14472486.0,15382656.0,1.4446,1.3591,elevated,17.45,1.3936,-8.13,-0.6415,16.32,22.05,0.9272,1.1613,0.5152,-0.32,0.44,-0.02,0.41,weakened
2024-12-13,1249.2119494931856,1264.281759521455,1228.986588963027,1261.951904296875,28630222,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,1.0198,-0.9339,-2.9507,-1.4974,18391028.0,16082485.0,1.5567,1.7802,spike,35.3,2.7969,-2.88,-0.2296,20.62,21.8,0.9355,1.1723,4.5556,0.64,0.44,0.02,0.606,strengthened
2024-12-16,1264.0835044447913,1270.0321327010022,1255.7059013940218,1257.44091796875,9486781,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.5255,-0.7745,-2.0731,-3.1203,17358384.0,15926193.0,0.5465,0.5957,dry,14.33,1.1393,2.13,0.1689,19.14,21.86,0.7272,1.1715,0.4286,-0.4,0.44,0.14,0.41,weakened
2024-12-17,1250.2528426173371,1253.078416496042,1232.1591005022085,1234.6376953125,17462791,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.249,-1.3936,-3.0782,-5.8944,17642196.0,16118302.0,0.9898,1.0834,normal,20.92,1.6944,-7.19,-0.5716,21.24,22.4,0.735,1.1808,0.0204,-0.96,0.34,-0.08,0.236,deteriorated
2024-12-18,1230.027558928225,1249.162239402372,1230.027558928225,1242.5196533203125,12670179,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,1.0156,-1.5399,-1.952,-4.2553,17831357.0,16042623.0,0.7106,0.7898,dry,19.13,1.54,-4.61,-0.3734,22.3,21.82,0.7989,1.1103,0.5625,-0.28,0.36,-0.12,0.376,weakened
