date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d,advance_decline_ratio,net_advances_pct,pct_above_50dma,highs_minus_lows_pct,composite_breadth_score,market_breadth_state
2023-02-13,3202.6849319015614,3202.6849319015614,3134.461969485681,3142.583740234375,1087939,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-1.8766,-1.071,0.6489,1.4198,1474756.0,1664679.0,0.7377,0.6535,dry,68.22,2.1709,10.33,0.3237,45.57,50.06,1.329,1.1634,0.4706,-0.36,0.42,0.06,0.402,weakened
2023-02-14,3162.977916368184,3180.8910178016995,3153.9537283043665,3158.55615234375,1579818,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.1398,-1.1509,0.7933,4.21,1499590.0,1651489.0,1.0535,0.9566,normal,26.94,0.8528,20.39,0.649,47.27,50.41,0.9863,1.1647,1.381,0.16,0.38,-0.04,0.48,mixed
2023-02-15,3146.7347657674286,3181.929103554905,3122.50472970228,3177.10107421875,1429449,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.965,-0.4777,0.0156,3.2948,1388091.0,1638538.0,1.0298,0.8724,normal,59.42,1.8704,-11.82,-0.3743,47.0,52.64,0.9426,1.1338,3.0833,0.5102,0.44,0.06,0.584,strengthened
2023-02-16,3183.012819825689,3226.1484997742177,3182.832380056969,3210.8525390625,1618931,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.8746,2.1724,0.4858,2.822,1380792.0,1598425.0,1.1725,1.0128,elevated,43.32,1.3491,5.91,0.1861,49.17,52.03,0.9333,1.1408,1.2727,0.12,0.46,0.2,0.528,mixed
2023-02-17,3182.0646250812088,3193.570467173406,3149.442266805479,3159.504150390625,1061369,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.709,0.03,-1.029,0.5413,1355501.0,1572241.0,0.783,0.6751,dry,44.13,1.3967,-28.79,-0.8966,55.28,51.72,0.9418,1.1442,0.4286,-0.4,0.46,0.08,0.412,weakened
2023-02-20,3160.271129596154,3178.319508405955,3135.9509832133717,3147.005615234375,1296082,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.4198,-0.9473,0.1407,0.7905,1397130.0,1560578.0,0.9277,0.8305,normal,42.37,1.3463,0.77,0.0243,50.11,48.43,0.9442,1.015,0.6129,-0.24,0.46,0.06,0.442,weakened
2023-02-21,3153.0518176626792,3166.497771917962,3108.6076842854936,3114.247802734375,1139541,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-1.2307,-3.0087,-1.4028,-0.6206,1309074.0,1564159.0,0.8705,0.7285,dry,57.89,1.8589,6.05,0.1921,54.03,48.44,1.0371,0.9314,0.6129,-0.24,0.42,-0.02,0.418,weakened
2023-02-22,3081.715617084995,3110.6381891326687,3063.712402699568,3069.623291015625,1218430,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.3924,-2.8448,-3.3829,-3.3678,1266871.0,1555688.0,0.9618,0.7832,normal,46.93,1.5287,-32.53,-1.0446,52.25,48.14,0.9479,0.9363,0.087,-0.84,0.36,-0.16,0.26,deteriorated
2023-02-23,3087.175595807029,3115.5114660865815,3075.444148059151,3080.67822265625,1441570,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.2105,-2.1076,-4.0542,-3.5881,1231398.0,1584061.0,1.1707,0.91,elevated,40.07,1.3006,17.55,0.5718,51.62,48.12,0.8932,0.9169,0.7241,-0.16,0.36,-0.08,0.404,weakened
2023-02-24,3088.528752334375,3098.861404900383,3052.2515558298396,3068.63037109375,977592,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.6443,-1.4648,-2.8762,-3.8756,1214643.0,1543646.0,0.8048,0.6333,dry,46.61,1.5189,7.85,0.2548,48.66,48.52,0.8572,0.9262,0.8519,-0.08,0.34,-0.18,0.402,weakened
